gene_short_name,PFAL1,PFAL2,PFAL3,PFDR1,PFDR2,PFDR3
Snapc2,2.01503,2.29422,1.26705,1.46266,1.11886,1.80693
Snapc3,1.2861,1.2206,1.83949,1.54369,1.11117,9.73794
Snapc4,2.62051,1.59667,3.54317,3.73225,5.47694,4.87629
Snapc5,9.91691,11.1061,8.92821,10.0894,9.81971,8.53936
Snapin,14.7778,19.9649,11.0725,15.5693,9.61071,12.9202
Snca,0,0,0,0,0,0
Sncaip,0.239743,0.182739,0.0449691,0.179934,0.0612855,0.274263
Sncb,0,0,0,0,0.0649606,0
Sncg,0.211927,0.243375,0.138145,0.135797,0,0
Snd1,36.9073,36.0458,27.252,45.7338,31.9211,16.1464
Sned1,1.17263,0.704881,0.376272,0.319179,0.982615,0.500041
Snf8,18.6991,18.6198,15.4689,19.9604,20.4309,13.7079
Snhg11,1.57204,0.473408,0.432738,1.04206,0.807453,1.87072
Snhg12,9.30607,7.15219,7.90506,9.15832,7.93253,6.34837
Snhg3,6.70631,6.31368,9.2317,13.3069,6.10696,31.4614
Snhg9,1.53992,0,6.70288,1.63114,5.65325,19.4297
Snip1,2.84742,2.94788,2.71784,3.12803,1.67005,1.55178
Snn,0.665284,0.638792,1.26849,0.761015,0.942317,0.836065
snoCD11,0,0,0,0,0,0
snoMe18S-Um1356,0,0,0,0,0,0
snoMe28S-Cm3227,0,0,0,0,0,0
snoR38,0,5185.05,0,558.511,0,625478
snoR9_plant,0,0,0,0,0,0
SNORA1,64.3878,0,32.263,25.8495,0,0
SNORA11,0,0,0,0,0,0
SNORA12,77.007,124.226,128.717,79.2644,97.2168,0
SNORA13,0,172.575,44.6549,35.3029,0,220.908
SNORA14,2849.86,3227.18,3387.19,3334.58,2409.56,2892.46
Snora15,19.7953,73.5632,230.435,61.2424,49.604,0
SNORA16,0,0,0,0,0,0
Snora16a,439.037,560.9,808.215,319.383,278.777,672.57
SNORA17,0,0,0,0,0,0
SNORA18,0,0,0,0,0,0
SNORA19,0,0,0,0,0,0
SNORA2,0,0,0,0,0,0
Snora20,156.824,214.455,26.4822,144.284,248.759,269.484
Snora21,22.2347,68.7386,420.045,102.669,108.133,0
SNORA22,9845.5,9859.19,10502.9,8671.56,4662.92,7643.34
Snora23,12.398,15.7807,51.3454,2.6373,15.7968,62.4209
SNORA24,0,0,0,0,0,0
SNORA25,0,6.75529,0,0,0,0
SNORA26,231.868,335.292,367.299,320.589,198.483,0
SNORA27,0,22.7545,0,0,0,0
Snora28,107.969,209.231,257.258,100.006,54.9314,410.953
SNORA29,0,39.6886,229.13,32.2614,26.5971,199.436
Snora2b,0,0,0,0,0,0
Snora3,12.9809,16.5607,13.6628,0,0,0
SNORA30,0,0,0,0,0,0
SNORA31,0,0,0,0,0,0
SNORA32,0,0,0,0,0,0
SNORA33,0,0,0,0,0,0
Snora34,32.6691,40.9558,20.9481,24.7583,0,0
Snora35,0,0,0,0,0,0
SNORA36,0,0,0,0,0,0
Snora36b,55.9621,17.7724,73.462,28.5428,33.9541,0
SNORA38,0,0,0,0,0,0
SNORA4,0,0,0,0,0,0
SNORA40,0,0,0,0,0,0
Snora41,9.3941,0,65.618,0,0,0
SNORA42,0,14.6499,45.6223,0,14.4196,0
Snora43,0,62.9991,49.7625,0,0,0
SNORA44,0,0,0,0,0,0
SNORA46,0,0,0,0,0,0
Snora47,60.8301,48.0323,114.492,22.5328,44.0224,94.3512
SNORA48,1176.16,1194.54,2541.75,1244.46,942.875,1535.34
SNORA49,140.14,225.402,523.228,188.02,75.5292,0
SNORA5,0,0,0,0,0,0
SNORA50,0,0,0,0,0,0
SNORA51,0,0,0,0,0,0
Snora52,99.5825,145.138,180.391,118.02,33.4352,361.705
SNORA53,0,0,1.28469,0,0,0
SNORA54,1044.4,1527.95,2718.61,1477.83,843.901,972.176
SNORA55,19.9961,0,14.4888,11.0822,50.834,0
SNORA57,0,0,0,0.732204,0,0
SNORA58,0,0,26.7792,0,0,0
Snora5c,72.4875,153.667,0,44.5247,106.571,76.1095
SNORA61,0,0,0,0,0,0
Snora62,201.334,299.106,399.057,265.624,262.166,290.916
SNORA63,792.718,776.656,958.418,838.434,432.262,716.801
SNORA64,0,0,0,0,0,0
SNORA65,0,0,0,0,0,0
SNORA66,0,0,14.641,0,0,0
