gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Ankzf1,12.4572,9.74017,11.7393,7.39064,6.84698,8.07894,8.27888,10.1791,6.8594,5.61982,7.33368,5.53177,7.14649,6.00096,5.8216
Glb1l,1.73233,1.00093,1.86486,2.32732,2.07015,1.63351,1.23245,0.547252,1.01255,1.60958,0.917454,0.771911,2.01833,1.59033,1.48085
Stk16,63.6579,44.6609,65.9841,48.5521,53.2032,48.5869,48.0722,62.1047,56.6462,10.8691,6.13225,3.56006,14.3898,10.2421,10.626
Tuba4a,78.8614,56.0657,86.3819,47.4918,57.0177,68.7385,28.6057,41.4117,42.2288,31.7181,24.3614,13.946,59.1245,43.6024,70.0668
Dnajb2,6.89406,8.95215,7.45245,8.98087,7.26585,9.62503,7.87236,5.16642,5.30018,10.217,6.881,4.11548,10.7457,8.25151,15.8518
Ptprn,0.0750934,0.0133279,0,0,0.0294067,0.0314078,0,0,0,0.0218955,0.021091,0.025474,0.0225469,0.0162934,0
Slc23a3,0,0,0,0,0,0,0.208402,0.133239,0.269356,0.246994,0.183921,0.0988865,0,0,0.0925626
Speg,0.489079,0.111332,0.293443,0.355528,0.353006,0.504719,0.309678,0.440675,0.390093,0.165951,0.219228,0.380079,0.541635,0.0825991,0.176049
Des,1.06049,1.187,0.781003,1.98514,1.30148,1.66295,2.75982,1.61882,1.05712,0.670153,7.70187,7.26167,11.0881,0.601918,0.839874
Dnpep,30.3521,23.8324,27.8032,18.9157,27.4314,23.7242,17.1227,22.0465,18.8936,12.11,10.0298,5.26816,17.6695,14.2049,22.5796
Obsl1,0.0245607,0.0175709,0.689261,0.0565695,0.0909045,0.417079,0.326466,0.117898,0.400275,0.085014,0.22444,0.117749,0.0520242,0.389336,0.0462101
Stk11ip,0.403658,0.327042,1.00169,0.778536,1.18571,0.513344,0.678458,0.701324,0.614952,1.33368,0.760429,1.8712,0.758174,1.22676,1.02996
Trip12,16.2144,16.4475,14.4775,13.0716,15.709,14.1961,13.3006,15.4442,12.5912,20.6658,22.1221,18.3029,23.8281,22.0182,19.8227
Slc16a14,0,0.0350696,0,0,0,0.0133027,0.0138419,0,0,0,0,0,0,0,0
Sp100,9.67027,9.9642,9.09814,10.2336,14.0539,9.91959,7.84242,8.80688,8.94115,5.57371,4.04846,3.19627,7.3659,5.4167,3.06698
Itm2c,10.5647,10.1352,8.23039,6.63147,10.6272,10.7819,9.58016,8.9194,9.55963,4.32022,4.97798,1.90852,6.72855,5.68049,6.91965
4933407L21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spata3,0.0630616,0.215803,0,0,0.186278,0.0954811,0,0.0838216,0,0.687316,0,0,0,0.304632,0
2810459M11Rik,22.8751,19.5951,22.6295,13.0719,17.678,21.1955,17.7309,23.1316,11.0798,10.142,7.88201,2.39722,12.1774,12.6574,17.9356
Htr2b,1.21809,0.821695,2.32479,1.65015,0.124876,0.256312,0.581649,0.369518,0.282218,0.350359,0.795036,1.66588,0.431352,0.15562,0.249997
Psmd1,42.009,34.7064,31.853,31.4614,47.0151,39.9827,26.1768,30.9408,23.2968,36.5684,26.1869,20.5495,39.5205,35.4397,35.4053
Ncl,19.577,21.345,19.0545,18.956,19.8232,15.3967,21.6526,23.4076,28.1241,13.8157,9.4524,23.1957,6.94687,6.2666,4.17622
Epha4,0.05573,0.062777,0.0408759,0.113514,0.0731833,0.0419827,0.194172,0.0922556,0.150503,0.240626,0.275429,0.166432,0.088324,0.10856,0.0572596
Nmur1,0,0,0,0,0.0340033,0,0,0,0,0,0,0,0,0,0
Ptma,204.733,157.095,200.757,142.014,163.816,161.163,166.468,173.745,155.671,94.5978,72.8451,27.9488,124.94,93.9215,154.153
Pde6d,3.11282,3.39883,3.45112,2.94717,3.27222,3.05505,2.50289,2.99757,3.1628,0.305095,0.709993,0.558245,0.591037,0.211582,0.3522
Cops7b,4.3718,1.62165,4.60636,2.42854,2.61019,2.24886,2.24616,2.75608,1.85782,1.79682,1.04293,0.472356,1.38061,1.33905,1.52521
Nppc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farsb,15.3153,11.5381,14.2395,11.2542,15.9503,10.5836,8.5586,11.135,7.1188,7.72612,8.24411,5.97036,13.905,10.5438,15.662
Alppl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecel1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl44,10.0313,7.78049,9.72089,9.71198,9.15141,8.63919,6.51105,5.87979,5.39208,4.73412,6.01861,3.26294,6.99165,6.53519,7.86436
Serpine2,3.5404,3.01838,2.2719,1.36025,2.33197,4.31671,9.516,11.9505,5.21472,6.27611,3.89376,3.21181,12.0766,7.88947,12.8498
Chrnd,0,0,0,0,0,0,0,0,0,0,0,0.00849873,0,0,0
Chrng,0,0,0,0,0,0,0,0.0332567,0,0,0,0.0589877,0,0,0
Eif4e2,42.8026,36.9071,43.4344,33.2776,37.3408,34.0028,36.3546,43.8751,37.2817,38.2672,24.0622,15.7479,31.0891,27.1597,38.9199
Efhd1,0.223005,0.135416,0.129227,0.152275,0.0748849,0.0774748,0.261153,0.0386605,0.325137,0.196715,0.0654821,0.0588584,0.0654149,0.048912,0.0517468
3110079O15Rik,0,0,0.477509,0,0,0,0,0,0,0,0,0,0,0,0
Ngef,3.39489,2.05355,2.92715,2.84089,3.255,3.84738,5.70982,6.5278,4.70186,4.91352,5.18806,1.26016,2.39609,2.68818,3.14957
Ndufa10,57.454,44.6235,57.8734,51.4951,67.9312,56.5908,54.1426,68.0321,50.1108,69.6365,67.4961,35.6829,70.6051,58.3662,75.4981
Rnpepl1,15.6977,13.3612,17.4849,13.5049,19.4376,18.3668,20.9283,17.8823,15.9202,3.52861,3.77654,4.87319,4.95278,6.21728,4.13507
Capn10,3.44617,3.80803,3.83386,2.21278,2.91377,3.33914,4.37062,3.74099,3.65283,6.97427,9.69424,5.23383,3.146,4.70974,4.76251
Gpr35,0.143897,0.169186,0.314411,0.415771,0.311583,0.222317,0.117309,0.0342762,0.223471,0.124003,0.0745922,0.222334,0.127942,0.0935604,0.150997
Agxt,138.535,77.2258,126.037,81.8934,147.21,139.632,76.4114,83.4394,142.483,41.7042,45.3153,96.7685,59.5737,61.2785,80.256
Mterfd2,10.3378,7.18027,8.50095,7.05593,8.67146,7.86657,5.17311,6.02747,5.12361,5.39459,6.09149,2.77777,9.86651,7.68658,10.2799
Pask,0.16592,0.125779,0.211109,0.0864658,0.403833,0.0348985,0.0208352,0.0459403,0.0332458,0.186033,0.0928418,0.267239,0.0632541,0.433726,0.0549576
Ppp1r7,1.70232,1.21873,2.36874,2.22397,2.00283,1.75998,1.82376,1.4263,1.88092,6.10284,2.35347,1.76864,2.42391,1.27054,3.89534
Sep-02,8.71137,8.61877,8.43811,10.6503,12.8792,8.77504,8.98427,9.86733,8.38893,35.0014,37.1326,21.6922,40.0282,35.6272,42.6122
Stk25,17.1103,11.1231,15.4104,11.1255,14.1464,12.3506,14.5127,16.7448,10.2786,8.23427,9.62557,7.04382,7.85151,6.74737,5.92831
Bok,4.6554,4.11711,3.0869,3.26789,2.4888,3.05171,3.19988,2.95519,1.84869,0.734781,0.475162,0.387859,0.89909,1.82018,1.23775
Thap4,1.07841,0.918127,0.858705,1.20265,1.27736,1.40783,1.52844,1.56983,1.29504,2.15632,3.24171,1.90613,2.8632,2.14682,2.12898
Atg4b,4.22799,3.40474,3.15979,2.59803,3.9124,3.69818,3.78357,4.50265,3.0083,12.666,11.3539,6.7215,12.2018,11.5797,10.5109
Dtymk,17.3675,16.6399,26.2154,17.3602,16.9597,17.811,11.0667,12.5391,10.9656,6.91028,9.29549,4.90779,9.90625,10.2937,14.8401
Ing5,1.53343,1.01505,1.00008,1.20683,1.25874,1.24308,1.36226,1.70026,1.42206,2.42394,2.57243,2.27881,1.80571,1.71565,1.72444
Pdcd1,0,0.0469094,0,0,0.0181838,0.0557731,0,0,0.0627363,0.0397338,0,0.0128187,0.0420017,0.060218,0
Inpp5d,0.908195,0.928861,0.759384,1.71289,1.23356,1.4689,1.00262,1.87932,1.42687,0.7629,0.656701,0.739742,0.676194,0.586437,1.38439
Atg16l1,5.86382,5.05858,6.52085,5.65343,6.76308,4.21578,5.72959,7.09084,4.55012,9.10225,8.36691,6.73694,9.0332,7.32872,8.57022
Spp2,45.2613,42.8246,51.2558,48.4276,51.808,47.2825,46.5123,54.8178,58.4636,38.7291,47.9949,15.2616,43.9126,41.4244,53.8401
Iqca,0,0,0.0547485,0,0,0,0,0,0,0,0,0,0,0,0
Mlph,0.400131,0.194751,0.0968718,0.324665,0.38113,0.540244,0.624389,0.189187,0.469905,0.130769,0.186622,0.196033,0.150883,0.204602,0.188825
Rab17,10.6107,6.70699,7.52833,6.50368,12.4446,10.5494,8.42131,7.80575,7.2008,7.38457,6.4661,2.02568,3.53753,6.00609,5.50987
Lrrfip1,8.43694,5.9872,6.43371,7.78963,7.29492,6.83207,6.64802,4.97833,5.60065,5.93059,5.94016,4.99057,5.18156,5.9274,5.70147
Scly,21.3965,17.5722,27.3697,21.0154,27.1936,29.1132,19.9032,19.7644,13.1421,20.1077,18.0257,7.23544,21.65,21.6323,27.2594
Klhl30,0,0,0,0,0,0,0,0,0,0,0,0.0222626,0.327291,0,0
Ilkap,12.22,11.2977,10.7721,10.6516,9.52163,11.3937,10.4818,13.3222,12.5205,12.1192,10.1237,5.53078,12.1535,9.05349,13.1752
Asb1,1.1723,0.697099,1.00049,0.806846,0.896459,0.686254,1.05403,0.94586,0.835093,1.13366,1.31578,2.06026,1.06343,1.12665,0.767868
Cdh7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hdac4,1.55771,1.05665,1.32369,1.23773,1.15312,1.30519,1.80365,1.85862,1.26789,1.35294,1.40923,1.34213,1.25633,1.17642,1.16807
Serpinb8,0.668112,0.274421,0.524078,1.37294,2.59527,1.59403,0.496405,0.509262,0.844396,1.12129,1.09728,0.257195,0.659802,1.11851,0.860456
Cln8,1.57808,1.58294,1.50932,2.3669,3.08064,1.73801,3.15108,3.94332,3.37936,2.56456,3.9118,5.70934,2.26118,2.35844,2.12958
2310035C23Rik,3.69985,2.90234,2.94098,3.62831,3.61243,3.23938,2.27477,2.48652,2.47374,3.06698,3.72941,3.1741,4.29741,4.11332,3.85969
Tnfrsf11a,0.291514,0.171607,0.124164,0.172361,0.306517,0.148478,0.225969,0.0595339,0.351834,0.335232,0.223797,0.0969831,0.220961,0.229182,0.299549
Htr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinb11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gin1,8.47851,7.48685,6.51568,5.26279,6.37549,5.05802,4.33682,7.88996,5.43561,4.14128,2.95932,2.86438,2.61452,2.40163,1.63931
Pam,2.53527,1.86104,1.30865,3.754,2.75107,2.71193,2.51158,3.972,3.52165,26.6992,27.2052,13.6526,25.8791,20.2466,26.0563
Slco6d1,0,0,0,0,0,0,0.0227004,0,0,0,0,0,0,0,0.0288108
Ccdc93,2.11231,1.84421,2.10338,1.27153,2.16485,1.97053,1.87043,2.04335,1.40862,2.30583,2.11208,1.65352,2.02465,2.39226,2.60508
Actr3,33.5161,35.1641,30.2139,38.6235,36.3676,34.0175,31.7276,35.5515,33.2058,43.543,43.8729,24.538,41.1917,36.4491,38.0415
Slc35f5,15.824,13.4461,13.4016,15.1608,22.6348,18.1241,15.7239,18.6265,13.5979,15.5097,13.2168,10.4591,12.363,14.5767,11.6648
Gpr39,0.404644,0.391104,0.366625,0.703952,0.81772,0.774852,0.39492,0.286683,0.322967,0.427886,0.496595,0.249404,0.438255,0.952321,0.970929
Lypd1,1.74107,1.42511,2.57402,2.11904,3.31023,1.68469,1.08739,0.754045,1.26132,1.95094,0.858345,0.653108,2.26631,2.80604,4.19183
Tmem163,0.057989,0.159601,0.0614439,0.330273,0.0486207,0.0345784,0.46023,0.281112,0.0874013,0.274148,0.602796,0.173051,0,0.0441636,0.0455079
Acmsd,15.9989,15.1719,6.39462,2.19146,3.45602,4.56523,6.85001,6.76083,7.79486,9.65302,11.5382,5.74834,7.84603,8.76963,15.7871
Ccnt2,3.74613,3.17084,4.01479,3.91465,3.60137,2.99598,3.96559,3.8878,2.40653,6.03485,5.06863,6.7437,3.99912,3.84263,4.89045
Ubxn4,42.5168,39.5845,39.3461,35.2996,41.2456,37.2664,19.364,24.3541,22.2917,18.4417,15.6876,11.7871,32.0157,22.2583,38.6544
Lct,0.00688803,0,0,0,0,0.0117932,0,0,0,0,0.0134483,0.00431418,0,0,0.0104293
Mcm6,2.15815,1.77717,1.48937,0.682247,1.74294,0.488034,0.580462,0.790821,1.86379,0.520671,1.21599,0.799682,0.805406,0.566988,0.911247
Dars,46.609,40.2358,44.836,37.36,58.0005,43.5982,40.9819,47.9784,36.8955,44.5856,49.1213,25.2535,50.0958,46.6465,50.8807
Rgs18,0.0470973,0.0271868,0,0,0.161816,0.0414708,0.257721,0,0.201034,0.226712,0.121898,0.0980164,0.634707,0.0820835,0.380645
Rgs1,0.365026,0.662874,0.348549,1.14733,0.70422,0.581367,1.05977,0.635008,4.13413,2.47135,5.38087,2.97526,0.551122,0.4124,0.512029
Rgs2,1.59804,1.37605,0.863628,1.29518,2.5129,1.1657,0.79828,1.2493,1.51183,1.10823,1.22347,2.00354,1.50877,1.11583,1.10661
Cdc73,4.82563,6.82146,8.18209,7.2551,6.04512,6.07506,6.83302,8.5412,7.22213,3.33008,2.97609,3.84868,3.90204,3.62287,2.05561
Cfh,225.153,191.943,215.83,144.072,229.471,165.5,153.61,163.391,109.404,143.41,141.307,64.2755,323.277,255.337,336.958
F13b,28.031,31.6402,30.877,27.8741,34.5222,27.9079,32.9719,36.0264,26.287,125.4,136.335,46.1183,117.136,113.907,143.283
Tsn,11.6909,8.68866,9.66578,8.90513,9.66929,10.3839,7.99964,9.39231,6.91475,6.74119,8.10494,6.47161,7.48326,8.78995,9.98378
Mki67ip,6.28973,7.89759,8.9888,5.5522,7.6361,5.59541,5.29006,6.44564,7.38868,11.9275,12.7504,10.4297,16.2297,11.1695,19.6404
Tfcp2l1,0.663075,0.604868,0.791201,0.82531,1.14696,0.836702,0.96493,0.893498,0.635822,1.74637,1.85407,1.42051,1.62715,1.61113,1.39457
Epb4.1l5,12.4902,13.0764,11.2783,9.74352,10.609,9.15811,11.5443,15.6595,13.1684,36.0486,36.899,19.4572,22.4973,21.6999,22.7237
Ptpn4,1.27739,2.96069,4.57733,1.56823,2.07732,1.06257,2.12221,1.92154,1.12444,10.6405,5.70053,5.70891,5.87163,6.99471,4.33184
Dbi,1436.16,1459.05,1564.97,1729.73,1901.58,1257.41,974.75,1284.18,1199.72,771.792,817.767,347.081,1200.58,1127.84,995.874
Sctr,0.025829,0,0.165641,0,0.0632142,0.0881017,0,0.133043,0,0.236107,0,0.0189676,0,0,0
3110009E18Rik,1.85704,2.25338,4.84931,1.26921,2.61263,3.69741,1.63084,1.26422,1.61384,0,0.238234,0.0385727,0.702915,0.72386,0.720001
Steap3,2.99018,2.4041,4.06468,2.7421,3.37404,3.69224,1.3443,1.58136,1.42012,1.59799,1.60044,1.12007,2.21855,2.76966,2.84121
Marco,1.90183,1.44111,0.948218,2.13695,3.98073,1.18016,3.67114,2.31218,2.47831,13.8993,9.76634,2.63042,1.83048,1.44802,2.16257
Nek7,11.2049,10.7178,10.0813,8.78628,13.9732,11.3271,14.8998,18.5525,12.4986,33.3025,32.6259,19.2528,23.5867,19.5769,16.9998
Atp6v1g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptprc,1.29523,1.50313,1.21342,2.40999,3.05983,2.0632,1.17283,1.19027,1.42691,2.58163,2.21871,0.780066,4.25708,2.8403,3.29089
Nr5a2,7.28582,4.62934,4.43345,5.93285,8.29321,7.41083,8.36262,9.18489,6.08627,20.9758,22.6253,15.644,10.7245,14.6031,18.3514
Cd55,6.05414,6.26091,5.3855,5.54594,6.55106,5.48001,5.19274,4.58588,4.34741,8.84019,6.22247,5.86088,10.7888,9.47906,9.57063
Daf2,0.00104168,0.0054291,0.00191473,0.00126756,0.00318841,0.00644612,0.00667121,0.00370511,0.119832,0.0273999,0.0192911,0.00763861,0.0349405,0.029523,0.0315689
Ddx59,2.46211,1.59107,4.3325,2.34309,3.273,2.59868,2.36153,2.07006,2.23481,2.11687,1.997,1.43041,1.58386,1.12528,1.11431
C4bp,254.823,185.038,203.605,159.222,262.812,182.37,141.009,186.493,120.642,126.387,80.1289,49.699,185.521,175.808,216.718
Cacna1s,0,0,0,0.240505,0.188568,0.00574766,0.0840913,0,0,0,1.113,1.39225,1.87858,0,0.0485439
Pfkfb2,4.11369,3.05992,3.41686,3.28164,3.25557,2.53932,5.21517,6.22911,4.60958,6.96559,8.04134,10.1199,4.15929,3.61828,5.15258
Tmem9,9.68035,8.69611,7.9366,4.98745,9.85793,6.79139,14.4165,13.6412,10.8816,4.4297,4.52,2.384,2.9391,2.21512,2.29494
Pkp1,0.0185021,0,0,0.0596379,0.045635,0,0.061002,0,0.0267527,0.0450339,0.0244591,0.0472783,0.0618661,0.0359685,0.0116847
Tnnt2,0.242658,0.368367,0.239251,0.436549,0.694945,0.391228,1.98271,1.06226,1.08139,0.156963,0.267175,0.12514,0.285047,0.0864253,0.273257
Fcamr,0.0224973,0.0454359,0.0345268,0.0692054,0.0747392,0,0.123804,0.0302478,0.0319275,0.0363988,0,0.157104,0,0.0285978,0.0293288
Il20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigr,233.115,203.678,213.074,254.714,343.548,351.322,347.944,329.195,249.191,132.023,145.556,62.1691,206.513,195.092,191.537
Tnni1,0,0,0,0,0,0,0,0,0,0,0.41323,0.758054,0.747803,0,0
Il24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csrp1,2.69828,2.48902,1.79712,3.4007,2.9896,3.08853,3.90533,2.15382,2.55755,3.89545,5.23574,2.16167,6.38036,4.02004,5.57816
Gpr37l1,0.0224896,0.0253787,0,0,0,0,0,0,0,0,0,0,0,0,0
Srgap2,2.04399,2.13769,1.84395,2.57253,2.72093,2.71694,2.27888,2.19894,1.76943,1.98725,2.35497,1.99657,1.74627,1.79284,1.71375
Arl8a,4.17421,4.62365,5.63961,4.07006,3.94942,3.76545,5.216,3.32424,3.7735,4.60936,5.0092,3.75267,6.46126,5.7407,5.75857
Eif2d,11.1349,6.44737,10.6987,7.96777,10.5299,8.93487,7.09518,7.50947,7.23297,4.43572,3.82186,3.49963,4.71783,5.0172,5.05581
Ube2t,0.388013,0.669132,0,0.38158,0.251092,0.0745772,0.244533,0.0573682,0.126333,0.192107,0,0.055388,0.0875311,0.192455,0.0653516
Rassf5,2.96929,1.99482,2.66968,3.04252,3.97589,4.18302,3.41068,3.97562,2.12988,0.894666,0.960362,0.945465,1.54551,1.72646,1.70259
Avpr1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rab7l1,6.11886,5.68106,5.29062,4.28163,5.31918,5.57452,3.59418,5.00733,2.29611,1.9839,2.50636,0.612825,3.5815,4.28684,6.27054
Nucks1,33.1456,32.5962,34.3227,32.976,37.5962,35.8316,44.9275,48.1838,36.1598,45.0027,42.5876,38.8953,27.0892,26.2299,23.5531
Slc45a3,4.71617,3.10138,3.36401,3.05981,4.03903,4.5479,4.73855,2.35014,2.15851,4.21312,7.21361,3.02338,5.33527,4.82729,4.85573
Elk4,29.9896,22.9594,26.059,29.2804,26.0915,22.6621,30.47,34.6904,29.0402,24.22,23.8373,35.3022,22.8193,21.2645,18.3062
Cdk18,8.43277,5.89713,9.57269,7.94147,8.15968,8.64984,14.4075,14.3515,7.97823,3.4049,3.9504,3.6586,3.50724,3.14048,4.12269
Rbbp5,9.20876,8.17744,8.7418,7.34113,7.17411,7.13983,6.19431,5.74034,4.9917,4.83572,3.94328,2.10698,6.05126,4.92057,6.81157
Nfasc,0.0652417,0.124112,0.0268067,0.014097,0.0467558,0.0259624,0.0154422,0.0343533,0.0503092,0.0146594,0.0217492,0.0229354,0.0587627,0.0663963,0.0460204
Lrrn2,0,0,0,0,0,0.0114433,0,0,0,0,0,0.0149522,0,0,0
Pik3c2b,0.65803,0.51271,0.626491,0.583461,0.636592,0.74893,0.741486,0.583846,0.80469,0.460951,0.426579,0.332296,0.630363,0.852555,1.14844
Chit1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syt2,0.0196524,0.00728546,0,0,0,0,0,0,0,0,0.0196675,0.0029455,0,0,0
Klhl12,5.62963,4.16319,4.56084,3.53676,4.51081,4.88831,5.08119,6.09738,4.52231,4.94757,5.53439,4.08869,4.3119,3.7659,4.13179
Cyb5r1,3.62239,2.33463,3.44683,1.86181,2.15632,1.92694,3.06351,4.31019,2.40433,2.98039,2.40488,1.78598,2.99177,1.71781,1.39754
Adipor1,36.7149,28.0598,30.7778,31.0868,34.4473,36.7831,47.1357,47.8936,37.2346,25.4457,27.7094,11.1059,22.7235,21.6552,26.4272
Ppfia4,0.0339748,0.0651105,0.0649798,0.107906,0.162619,0.0917802,0.061446,0.0528446,0.0195166,0.0285951,0.0755828,0.0277522,0.0490144,0.0509547,0.0310371
Myog,0,0,0,0,0,0,0,0,0,0,0,0.0356426,0.112735,0,0
Atp2b4,0.374239,0.485673,0.294862,0.613572,0.594639,0.701246,0.857645,0.463108,0.578912,1.19233,1.04062,0.813297,1.61834,1.64676,1.23714
Zc3h11a,11.9584,9.13377,11.4565,9.09601,10.0337,9.82559,11.669,16.4981,10.4859,7.80836,4.61869,3.47075,6.02535,4.44813,5.91027
Tor1aip1,12.1883,9.12275,9.72399,11.6175,13.1528,11.708,13.3833,13.559,11.1967,13.9153,13.6998,14.2131,12.507,13.5175,10.5863
Lhx4,0,0,0,0,0,0,0,0,0,0,0,0.00816186,0,0.00929066,0.00982272
Xpr1,11.0194,11.1465,10.0231,11.8003,12.606,12.7909,11.1216,13.697,9.16151,9.25124,8.15052,6.68696,7.1351,9.18482,6.32572
Stx6,2.56928,2.18381,1.83318,1.92981,1.80637,1.52312,1.48721,1.54211,1.25446,1.87363,1.91065,1.38869,2.06568,2.91184,3.42714
Mr1,0.613718,0.956337,0.329482,1.22849,1.55289,0.665059,0.699919,0.849159,0.655468,2.59771,3.61643,1.28778,2.32546,2.24246,1.58076
Glul,195.076,162.08,213.134,235.411,173.053,215.635,180.522,188.446,111.759,315.966,206.014,60.0212,231.617,273.355,315.347
Rgs16,0.0816345,0.022836,0.0957653,6.9475,0.887846,1.36758,3.3598,3.9213,0.892593,9.95775,19.2233,0.932663,1.49134,1.3611,0.230798
Lamc1,1.30737,1.08429,1.26069,2.76255,1.5448,1.16489,2.42342,1.55741,1.30412,3.72172,1.8866,2.49445,3.23514,2.79359,1.8421
Lamc2,0.104779,0.0612007,0.0745742,0.120273,0.0730501,0.0888269,0.304317,0.168503,0.0465045,0.277419,0.0629555,0.0766289,0.142281,0.0852202,0.0706901
Ncf2,1.27544,1.31301,1.126,2.70984,2.18396,1.12902,0.951973,1.06853,1.25716,0.697463,0.806457,0.318234,1.00083,0.649704,0.9379
Rgl1,2.17574,1.89034,1.8372,2.34839,2.36181,2.28332,2.30055,2.58553,2.00295,4.01272,3.43704,1.84589,4.41448,3.93588,4.01434
Fam129a,3.55077,2.19362,0.837901,1.05668,1.15695,0.890873,1.95367,2.16358,1.47047,1.03336,1.78477,0.65082,2.82659,0.883174,1.0911
Rnf2,5.76497,5.37929,3.82507,4.81163,5.35559,4.63766,6.26888,7.35113,6.337,8.54487,9.39669,3.63599,8.45991,6.26528,6.8663
Adck3,91.8333,67.4178,77.9168,67.2196,141.858,108.499,46.2135,48.7339,33.9666,30.5576,48.3093,35.2232,85.6236,87.448,63.9468
Cdc42bpa,3.90629,2.86705,3.7533,4.4381,3.63449,3.82416,3.89109,5.15419,3.68093,9.20031,7.98804,10.0688,8.36196,7.4788,7.14904
Ahctf1,12.8247,11.4445,16.3575,10.6817,14.1761,13.2984,15.0199,17.8701,15.5629,17.0068,20.3247,11.8241,12.9724,12.4296,12.0794
Tfb2m,7.53436,8.74862,7.14725,7.57759,7.50915,6.86563,8.42351,8.3505,8.94337,15.9451,14.9178,11.049,14.1151,9.56631,10.4417
Kif26b,0.0542914,0.0374421,0.0107689,0.0144085,0.0346033,0.00979488,0.0179815,0.0974448,0.0291434,0.171789,0.0345149,0.0160915,0.0713532,0.0399411,0.0746675
Efcab2,0.645318,1.07498,1.42772,1.14422,1.7993,1.39232,1.12731,1.02552,1.78855,2.24484,1.26707,1.20684,1.36443,1.4104,0.832032
Parp1,5.56544,5.36899,6.10158,5.04143,5.57966,5.0088,3.75798,4.58491,4.48101,5.35666,6.19671,2.59152,8.6581,7.55771,9.77957
Mixl1,0,0.0285762,0,0,0,0,0,0,0,0,0,0,0,0,0
Acbd3,7.28298,7.4204,7.5562,7.00021,7.11665,6.82524,6.5974,6.40884,5.91788,7.42009,6.21506,5.81818,9.32476,6.92992,8.01219
Fam36a,51.0978,46.8614,49.8585,47.2868,66.3185,50.4426,29.3866,39.3337,34.8481,20.2725,21.5113,15.5155,27.344,28.6326,26.5684
Pppde1,9.21016,8.57132,7.71871,5.46381,8.53485,7.17334,10.1489,11.7046,9.04149,9.44602,11.3906,10.0101,8.43206,6.04291,7.48451
Sdccag8,2.45614,2.26882,1.30053,1.92388,2.54965,2.55539,1.57051,1.61832,2.19472,2.26689,1.69251,0.995503,1.35678,2.16782,2.67218
Capn2,13.4469,13.0181,15.3511,14.0189,18.1895,15.6643,8.74068,9.08942,7.18716,9.29878,9.5859,5.36513,20.4596,16.775,21.8514
Trp53bp2,5.20178,3.86421,4.50869,4.46603,4.9641,4.28569,4.81491,3.9953,4.1255,2.91381,2.40546,1.92252,2.58234,2.62748,2.43633
Srp9,79.2779,77.2185,85.1808,63.4749,79.2756,69.8523,62.5194,72.617,74.9433,52.0973,50.7967,19.2613,55.9638,43.2317,64.8065
Cnih3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nvl,4.45701,3.71651,3.5398,3.76483,4.72311,3.55168,2.65486,3.26282,2.40695,3.15293,2.90358,3.27728,5.34667,3.83886,4.20613
Tmem63a,1.49294,1.31204,1.6342,1.22836,2.165,1.9106,2.76073,2.34769,2.04849,4.47339,3.00058,1.72022,2.07315,2.25668,3.14403
Pycr2,1.81957,1.69776,3.12359,0.938523,1.27881,1.15215,0.939392,0.98077,1.39502,0.461928,0.759451,0.600319,1.94757,0.739648,1.94709
Wdr64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opn3,0.991949,0.596974,0.222627,0.228269,0.233382,0.443215,0.713472,0.509448,0.169741,0.333641,0.522786,0.752469,0.129981,0.65079,0.248382
Fh1,104.246,114.089,106.91,77.0443,115.477,83.1453,149.115,179.894,221.996,102.876,130.431,116.565,78.5955,62.7125,90.8939
Rgs7,0,0.0683085,0.0458218,0.0678072,0.109194,0.0266801,0.0570113,0.169229,0.182126,0,0.0535729,0.0460513,0.160771,0.227939,0
1810030J14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spna1,0.0135095,0.0384782,0.0261725,0.0231015,0.0229097,0.0150838,0.0965503,0.0475581,0.0191064,0.0173275,0.0469818,0.0122181,0.0769411,0.0431821,0.0184473
Ifi202b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
